symbol,date,price
종근당,12-19-2018,107500
종근당,12-20-2018,105500
종근당,12-21-2018,107500
종근당,12-24-2018,109500
종근당,12-26-2018,107500
종근당,12-27-2018,103500
종근당,12-28-2018,102000
종근당,01-02-2019,100000
종근당,01-03-2019,98500
종근당,01-04-2019,99800
종근당,01-07-2019,101000
종근당,01-08-2019,102500
종근당,01-09-2019,102500
종근당,01-10-2019,104000
종근당,01-11-2019,105000
종근당,01-14-2019,106000
종근당,01-15-2019,106500
종근당,01-16-2019,107000
종근당,01-17-2019,107000
종근당,01-18-2019,107500
종근당,01-21-2019,106000
종근당,01-22-2019,105000
종근당,01-23-2019,108000
종근당,01-24-2019,106500
종근당,01-25-2019,106000
종근당,01-28-2019,105000
종근당,01-29-2019,106000
제일바이오,11-22-2017,4630
제일바이오,11-23-2017,4710
제일바이오,11-24-2017,4670
제일바이오,11-27-2017,4645
제일바이오,11-28-2017,4540
제일바이오,11-29-2017,4445
제일바이오,11-30-2017,4340
제일바이오,12-01-2017,4430
제일바이오,12-04-2017,4445
제일바이오,12-05-2017,4390
제일바이오,12-06-2017,4330
제일바이오,12-07-2017,4175
제일바이오,12-08-2017,4175
제일바이오,12-11-2017,4290
제일바이오,12-12-2017,4255
제일바이오,12-13-2017,4295
제일바이오,12-14-2017,4245
제일바이오,12-15-2017,4130
제일바이오,12-18-2017,3990
제일바이오,12-19-2017,3940
제일바이오,12-20-2017,4005
제일바이오,12-21-2017,3965
제일바이오,12-22-2017,4065
제일바이오,12-26-2017,4090
제일바이오,12-27-2017,4140
제일바이오,12-28-2017,4145
제일바이오,01-02-2018,4145
제일바이오,01-03-2018,4160
제일바이오,01-04-2018,4120
제일바이오,01-05-2018,4155
제일바이오,01-08-2018,4055
제일바이오,01-09-2018,4000
제일바이오,01-10-2018,4060
제일바이오,01-11-2018,4050
제일바이오,01-12-2018,4125
제일바이오,01-15-2018,4065
제일바이오,01-16-2018,4065
제일바이오,01-17-2018,4025
제일바이오,01-18-2018,4010
제일바이오,01-19-2018,4040
제일바이오,01-22-2018,4000
제일바이오,01-23-2018,4050
제일바이오,01-24-2018,4060
제일바이오,01-25-2018,4085
제일바이오,01-26-2018,4155
제일바이오,01-29-2018,4175
제일바이오,01-30-2018,4125
제일바이오,01-31-2018,4060
제일바이오,02-01-2018,4080
제일바이오,02-02-2018,4000
제일바이오,02-05-2018,3925
제일바이오,02-06-2018,3835
제일바이오,02-07-2018,3850
제일바이오,02-08-2018,3920
제일바이오,02-09-2018,3925
제일바이오,02-12-2018,3925
제일바이오,02-13-2018,3875
제일바이오,02-14-2018,3885
제일바이오,02-19-2018,3920
제일바이오,02-20-2018,3925
제일바이오,02-21-2018,3930
제일바이오,02-22-2018,3890
제일바이오,02-23-2018,3890
제일바이오,02-26-2018,3870
제일바이오,02-27-2018,3860
제일바이오,02-28-2018,3815
제일바이오,03-02-2018,3780
제일바이오,03-05-2018,3765
제일바이오,03-06-2018,3790
제일바이오,03-07-2018,3770
제일바이오,03-08-2018,3780
제일바이오,03-09-2018,3790
제일바이오,03-12-2018,3820
제일바이오,03-13-2018,3830
제일바이오,03-14-2018,3925
제일바이오,03-15-2018,3920
제일바이오,03-16-2018,3910
제일바이오,03-19-2018,3885
제일바이오,03-20-2018,3885
제일바이오,03-21-2018,3875
제일바이오,03-22-2018,3860
제일바이오,03-23-2018,3730
제일바이오,03-26-2018,3775
제일바이오,03-27-2018,4100
제일바이오,03-28-2018,4185
제일바이오,03-29-2018,4100
제일바이오,03-30-2018,4085
제일바이오,04-02-2018,3995
제일바이오,04-03-2018,4010
제일바이오,04-04-2018,3925
제일바이오,04-05-2018,4045
제일바이오,04-06-2018,4010
제일바이오,04-09-2018,4035
제일바이오,04-10-2018,4185
제일바이오,04-11-2018,4260
제일바이오,04-12-2018,4030
제일바이오,04-13-2018,4115
제일바이오,04-16-2018,4175
제일바이오,04-17-2018,4115
제일바이오,04-18-2018,4080
제일바이오,04-19-2018,3990
제일바이오,04-20-2018,4015
제일바이오,04-23-2018,3990
제일바이오,04-24-2018,4050
제일바이오,04-25-2018,3980
제일바이오,04-26-2018,4000
제일바이오,04-27-2018,3970
제일바이오,04-30-2018,3890
제일바이오,05-02-2018,4210
제일바이오,05-03-2018,4085
제일바이오,05-04-2018,4135
제일바이오,05-08-2018,4020
제일바이오,05-09-2018,4000
제일바이오,05-10-2018,4075
제일바이오,05-11-2018,4090
제일바이오,05-14-2018,4190
제일바이오,05-15-2018,4145
제일바이오,05-16-2018,4050
제일바이오,05-17-2018,4070
제일바이오,05-18-2018,4135
제일바이오,05-21-2018,4100
제일바이오,05-23-2018,4245
제일바이오,05-24-2018,4280
제일바이오,05-25-2018,4120
제일바이오,05-28-2018,4230
제일바이오,05-29-2018,4175
제일바이오,05-30-2018,4050
제일바이오,05-31-2018,4075
제일바이오,06-01-2018,4090
제일바이오,06-04-2018,4050
제일바이오,06-05-2018,4015
제일바이오,06-07-2018,4050
제일바이오,06-08-2018,4055
제일바이오,06-11-2018,4180
제일바이오,06-12-2018,4170
제일바이오,06-14-2018,4045
제일바이오,06-15-2018,4055
제일바이오,06-18-2018,3890
제일바이오,06-19-2018,3795
제일바이오,06-20-2018,3900
제일바이오,06-21-2018,3840
제일바이오,06-22-2018,3880
제일바이오,06-25-2018,3970
제일바이오,06-26-2018,3930
